cores,query,time
1,A,0.34525097200021265
1,B,7.247218268000142
1,C,4.999702664399592
2,A,0.2783044756000891
2,B,5.017395511399809
2,C,3.525298720200226
4,A,0.2421399733997532
4,B,4.431905421199917
4,C,3.204845650199786
8,A,0.2751856366001448
8,B,4.4174666235998306
8,C,3.0444273848002923
